#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2022-10-09T17:55:12Z,0.48227130687443626,co,airSensors,TLM0100
,,0,2022-10-09T17:55:22Z,0.49004027087050156,co,airSensors,TLM0100
,,0,2022-10-09T17:55:32Z,0.4988075077005548,co,airSensors,TLM0100
,,0,2022-10-09T17:55:42Z,0.48023578127143435,co,airSensors,TLM0100
,,0,2022-10-09T17:55:52Z,0.48322003692749393,co,airSensors,TLM0100
,,0,2022-10-09T17:56:02Z,0.4968227300355001,co,airSensors,TLM0100
,,0,2022-10-09T17:56:12Z,0.509002966797089,co,airSensors,TLM0100
,,0,2022-10-09T17:56:22Z,0.5152880182208809,co,airSensors,TLM0100
,,0,2022-10-09T17:56:32Z,0.5169825800713124,co,airSensors,TLM0100
,,0,2022-10-09T17:56:42Z,0.513282025005828,co,airSensors,TLM0100
,,0,2022-10-09T17:56:52Z,0.5194214920268923,co,airSensors,TLM0100
,,0,2022-10-09T17:57:02Z,0.5188795647164645,co,airSensors,TLM0100
,,0,2022-10-09T17:57:12Z,0.5075364742689474,co,airSensors,TLM0100
,,0,2022-10-09T17:57:22Z,0.5031413551172373,co,airSensors,TLM0100
,,0,2022-10-09T17:57:32Z,0.5017677657311689,co,airSensors,TLM0100
,,0,2022-10-09T17:57:42Z,0.5120132100220365,co,airSensors,TLM0100
,,0,2022-10-09T17:57:52Z,0.5138489900403194,co,airSensors,TLM0100
,,0,2022-10-09T17:58:02Z,0.5335784144150814,co,airSensors,TLM0100
,,0,2022-10-09T17:58:12Z,0.5533670842015425,co,airSensors,TLM0100
,,0,2022-10-09T17:58:22Z,0.5429212881105465,co,airSensors,TLM0100
,,0,2022-10-09T17:58:32Z,0.5366540743357922,co,airSensors,TLM0100
,,0,2022-10-09T17:58:42Z,0.5404230186096542,co,airSensors,TLM0100
,,0,2022-10-09T17:58:52Z,0.5522202850552367,co,airSensors,TLM0100
,,0,2022-10-09T17:59:02Z,0.57209027209149,co,airSensors,TLM0100
,,0,2022-10-09T17:59:12Z,0.5646141603202959,co,airSensors,TLM0100
,,0,2022-10-09T17:59:22Z,0.5646442765512282,co,airSensors,TLM0100
,,0,2022-10-09T17:59:32Z,0.5493936999419943,co,airSensors,TLM0100
,,0,2022-10-09T17:59:42Z,0.5654590291984157,co,airSensors,TLM0100
,,0,2022-10-09T17:59:52Z,0.566963095962474,co,airSensors,TLM0100
,,0,2022-10-09T18:00:02Z,0.5648825404172464,co,airSensors,TLM0100
,,0,2022-10-09T18:00:12Z,0.562722697368714,co,airSensors,TLM0100
,,0,2022-10-09T18:00:22Z,0.5499701544357011,co,airSensors,TLM0100
,,0,2022-10-09T18:00:32Z,0.5688569262075927,co,airSensors,TLM0100
,,0,2022-10-09T18:00:42Z,0.574282935094522,co,airSensors,TLM0100
,,0,2022-10-09T18:00:52Z,0.5734389054546013,co,airSensors,TLM0100
,,0,2022-10-09T18:01:02Z,0.5652302496269265,co,airSensors,TLM0100
,,0,2022-10-09T18:01:12Z,0.580796507418888,co,airSensors,TLM0100
,,0,2022-10-09T18:01:22Z,0.5859094031749407,co,airSensors,TLM0100
,,0,2022-10-09T18:01:32Z,0.5949853740181886,co,airSensors,TLM0100
,,0,2022-10-09T18:01:42Z,0.5834435208290284,co,airSensors,TLM0100
,,0,2022-10-09T18:01:52Z,0.5725463424624191,co,airSensors,TLM0100
,,0,2022-10-09T18:02:02Z,0.5818153860347174,co,airSensors,TLM0100
,,0,2022-10-09T18:02:12Z,0.5908149641222241,co,airSensors,TLM0100
,,0,2022-10-09T18:02:22Z,0.5798891245112696,co,airSensors,TLM0100
,,0,2022-10-09T18:02:32Z,0.5892682700148343,co,airSensors,TLM0100
,,0,2022-10-09T18:02:42Z,0.5837454458999759,co,airSensors,TLM0100
,,0,2022-10-09T18:02:52Z,0.565889807254045,co,airSensors,TLM0100
,,0,2022-10-09T18:03:02Z,0.5652803004053616,co,airSensors,TLM0100
,,0,2022-10-09T18:03:12Z,0.5486959377582658,co,airSensors,TLM0100
,,0,2022-10-09T18:03:22Z,0.5566596789996265,co,airSensors,TLM0100
,,0,2022-10-09T18:03:32Z,0.561685300957087,co,airSensors,TLM0100
,,0,2022-10-09T18:03:42Z,0.57655861969807,co,airSensors,TLM0100
,,0,2022-10-09T18:03:52Z,0.5666706738324111,co,airSensors,TLM0100
,,0,2022-10-09T18:04:02Z,0.5690143910494344,co,airSensors,TLM0100
,,0,2022-10-09T18:04:12Z,0.5634772533544635,co,airSensors,TLM0100
,,0,2022-10-09T18:04:22Z,0.5565368412368417,co,airSensors,TLM0100
,,0,2022-10-09T18:04:32Z,0.569147726805925,co,airSensors,TLM0100
,,0,2022-10-09T18:04:42Z,0.5762926296973719,co,airSensors,TLM0100
,,0,2022-10-09T18:04:52Z,0.5907772418341387,co,airSensors,TLM0100
,,0,2022-10-09T18:05:02Z,0.6075624319858637,co,airSensors,TLM0100
,,0,2022-10-09T18:05:12Z,0.5923705413752203,co,airSensors,TLM0100
,,0,2022-10-09T18:05:22Z,0.6091704320197369,co,airSensors,TLM0100
,,0,2022-10-09T18:05:32Z,0.59740605203464,co,airSensors,TLM0100
